id,lat,lon
1,28.61915,-18.691683
2,28.61915,-18.691684
3,28.61915,-18.691683
4,28.61915,-18.691683
5,28.61915,-18.691685
6,28.61915,-18.691685
7,28.61915,-18.691685
8,28.61915,-18.691684
9,28.61915,-18.691685
10,28.61915,-18.691686
11,28.61915,-18.691685
12,28.61915,-18.691685
13,28.61915,-18.691686
14,28.61915,-18.691686
15,28.61915,-18.691686
16,28.61915,-18.6917
17,28.61915,-18.6917
18,28.61915,-18.691701
19,28.61915,-18.691701
20,28.61915,-18.691701
21,28.61915,-18.691701
22,28.619151,-18.691703
23,28.619151,-18.691704
24,28.619151,-18.691704
25,28.619152,-18.691705
26,28.619151,-18.691704
27,28.619152,-18.691705
28,28.619152,-18.691706
29,28.619152,-18.691707
30,28.619153,-18.691708
31,28.619153,-18.691708
32,28.619153,-18.691708
33,28.619153,-18.691709
34,28.619153,-18.691709
35,28.619153,-18.691709
36,28.619154,-18.691712
37,28.619154,-18.691712
38,28.619154,-18.691713
39,28.619154,-18.691713
40,28.619155,-18.691714
41,28.619167,-18.691757
42,28.619167,-18.691758
43,28.619167,-18.691757
44,28.619167,-18.691758
45,28.619167,-18.691758
46,28.619167,-18.691757
47,28.619167,-18.691758
48,28.619167,-18.691774
49,28.619167,-18.691775
50,28.619167,-18.691775
51,28.619167,-18.691777
52,28.619167,-18.691777
53,28.619167,-18.691777
54,28.619167,-18.691778
55,28.619167,-18.691779
56,28.619167,-18.691777
57,28.619167,-18.691778
58,28.619167,-18.691779
59,28.619167,-18.691779
60,28.619167,-18.691779
61,28.619167,-18.691784
62,28.619167,-18.691785
63,28.619167,-18.691786
64,28.619167,-18.691786
65,28.619167,-18.691785
66,28.619167,-18.691789
67,28.619167,-18.69179
68,28.619167,-18.691791
69,28.619168,-18.691802
70,28.619168,-18.691803
71,28.619169,-18.691804
72,28.619168,-18.691803
73,28.619168,-18.691804
74,28.619169,-18.691805
75,28.619168,-18.691803
76,28.619169,-18.691804
77,28.61917,-18.691806
78,28.61917,-18.691807
79,28.619172,-18.691811
80,28.619172,-18.691811
81,28.619172,-18.691812
82,28.619173,-18.691812
83,28.619173,-18.691813
84,28.619173,-18.691812
85,28.619173,-18.691813
86,28.619173,-18.691813
87,28.619173,-18.691813
88,28.619173,-18.691814
89,28.619174,-18.691815
90,28.619174,-18.691815
91,28.619174,-18.691814
92,28.619174,-18.691815
93,28.619175,-18.691816
94,28.619174,-18.691815
95,28.619175,-18.691816
96,28.619175,-18.691817
97,28.619175,-18.691817
98,28.619175,-18.691816
99,28.619175,-18.691816
100,28.619175,-18.691816
101,28.619175,-18.691817
102,28.619176,-18.691818
103,28.619176,-18.691818
104,28.619175,-18.691816
105,28.619176,-18.691818
106,28.619176,-18.691818
107,28.619175,-18.691818
108,28.619175,-18.691817
109,28.619175,-18.691817
110,28.619175,-18.691817
111,28.619175,-18.691817
112,28.619175,-18.691817
113,28.619183,-18.691838
114,28.619183,-18.69184
115,28.619183,-18.691839
116,28.619183,-18.691842
117,28.619183,-18.691843
118,28.619183,-18.691842
119,28.619183,-18.691862
120,28.619183,-18.69186
121,28.619183,-18.691861
122,28.619183,-18.691861
123,28.619183,-18.691912
124,28.619183,-18.691912
125,28.619183,-18.691913
126,28.619183,-18.691913
127,28.619183,-18.691914
128,28.619183,-18.691914
129,28.619183,-18.691916
130,28.6192,-18.691984
131,28.6192,-18.691985
132,28.6192,-18.691984
133,28.6192,-18.691984
134,28.6192,-18.691984
135,28.6192,-18.691984
136,28.6192,-18.691986
137,28.6192,-18.691986
138,28.6192,-18.691986
139,28.6192,-18.691986
140,28.6192,-18.691986
141,28.6192,-18.691986
142,28.6192,-18.691987
143,28.6192,-18.691986
144,28.6192,-18.691986
145,28.6192,-18.691986
146,28.6192,-18.691987
147,28.6192,-18.691988
148,28.6192,-18.691988
149,28.6192,-18.691987
150,28.6192,-18.691988
151,28.6192,-18.691988
152,28.6192,-18.691988
153,28.6192,-18.69199
154,28.6192,-18.691989
155,28.6192,-18.691989
156,28.6192,-18.691991
157,28.6192,-18.691991
158,28.6192,-18.691991
159,28.6192,-18.691992
160,28.6192,-18.691992
161,28.6192,-18.691993
162,28.6192,-18.691992
163,28.6192,-18.691992
164,28.6192,-18.691994
165,28.619202,-18.692006
166,28.619202,-18.692005
167,28.619202,-18.692005
168,28.619202,-18.692005
169,28.619202,-18.692005
170,28.619202,-18.692005
171,28.619202,-18.692006
172,28.619202,-18.692005
173,28.619202,-18.692006
174,28.619203,-18.692008
175,28.619202,-18.692007
176,28.619203,-18.692009
177,28.619202,-18.692007
178,28.619203,-18.692008
179,28.619203,-18.692009
180,28.619203,-18.692009
181,28.619203,-18.69201
182,28.619203,-18.69201
183,28.619203,-18.692009
184,28.619204,-18.692011
185,28.619204,-18.692011
186,28.619203,-18.69201
187,28.619203,-18.69201
188,28.619204,-18.692012
189,28.619204,-18.692012
190,28.619204,-18.692013
191,28.619204,-18.692012
192,28.619204,-18.692013
193,28.619204,-18.692013
194,28.619204,-18.692013
195,28.619204,-18.692013
196,28.619204,-18.692013
197,28.619204,-18.692013
198,28.619204,-18.692013
199,28.619204,-18.692013
200,28.619205,-18.692015
201,28.619205,-18.692014
202,28.619205,-18.692014
203,28.619205,-18.692015
204,28.619205,-18.692015
205,28.619205,-18.692015
206,28.619206,-18.692017
207,28.619205,-18.692015
208,28.619205,-18.692016
209,28.619206,-18.692017
210,28.619206,-18.692017
211,28.619205,-18.692016
212,28.619206,-18.692017
213,28.619206,-18.692019
214,28.619206,-18.692017
215,28.619206,-18.692017
216,28.619206,-18.692019
217,28.619207,-18.69202
218,28.619206,-18.692019
219,28.619207,-18.692021
220,28.619207,-18.69202
221,28.619207,-18.692021
222,28.619207,-18.692022
223,28.619207,-18.692021
224,28.619207,-18.69202
225,28.619207,-18.692022
226,28.619207,-18.692022
227,28.619207,-18.692021
228,28.619208,-18.692023
229,28.619207,-18.692022
230,28.619208,-18.692024
231,28.619208,-18.692024
232,28.619208,-18.692023
233,28.619208,-18.692024
234,28.619217,-18.69209
235,28.619217,-18.692089
236,28.619217,-18.692089
237,28.619217,-18.692089
238,28.619217,-18.69209
239,28.619217,-18.692091
240,28.619217,-18.692089
241,28.619217,-18.69209
242,28.619217,-18.692089
243,28.619217,-18.69209
244,28.619217,-18.692089
245,28.619217,-18.692092
246,28.619217,-18.692091
247,28.619217,-18.69209
248,28.619217,-18.692092
249,28.619217,-18.692092
250,28.619217,-18.692093
251,28.619217,-18.692093
252,28.619217,-18.692092
253,28.619217,-18.692093
254,28.619217,-18.692093
