Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],566.24,,566.24,566.24,566.24
clip[usec],596.0,,596.0,596.0,596.0
msec,0.42,,0.42,0.42,0.42
low_i,52.0,,52.0,52.0,52.0
high_i,154.0,,154.0,154.0,154.0
energy[%],93.81,,93.81,93.81,93.81
SNR[dB],14.19,,14.19,14.19,14.19
Fp[kHz],115.2,,115.2,115.2,115.2
Fc[kHz],115.0,,115.0,115.0,115.0
RMS[kHz],6.0,,6.0,6.0,6.0
Qrms,19.17,,19.17,19.17,19.17
Fs[kHz],512.0,,512.0,512.0,512.0
slope_max_wvd,-0.0,,-0.0,-0.0,-0.0
