Descriptor,Media,Sdev,Mediana,Percentil10,Percentil90
depth[m],566.21,,566.21,566.21,566.21
clip[usec],970.0,,970.0,970.0,970.0
msec,0.3,,0.3,0.3,0.3
low_i,33.0,,33.0,33.0,33.0
high_i,125.0,,125.0,125.0,125.0
energy[%],99.48,,99.48,99.48,99.48
SNR[dB],29.58,,29.58,29.58,29.58
Fp[kHz],113.6,,113.6,113.6,113.6
Fc[kHz],113.75,,113.75,113.75,113.75
RMS[kHz],4.86,,4.86,4.86,4.86
Qrms,23.4,,23.4,23.4,23.4
Fs[kHz],512.0,,512.0,512.0,512.0
slope_max_wvd,0.0,,0.0,0.0,0.0
